asset_id;asset_type;feeder_id;ilce;yas_2025;ariza_sayisi_5yil;agac_yogunlugu_skoru;kiyi_mesafesi_km;yuklenme_orani;fider_abone_sayisi;fider_kritik_musteri;toplam_kayip_kWh;Kirilganlik_Puan;Etki_Puan;Risk_Skoru;Risk_Kategorisi
MRS-F-022-T060;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;29,0;1;0,41;1;95,0%;8349;3;1818;58,14;67,35;39,15;Orta
MRS-F-031-D0022;DIREK;MRS-F-031;Yenisehir;45,0;2;0,25;1;59,2%;6087;3;15188,9;63,11;61,65;38,91;Orta
MRS-F-040-D0011;DIREK;MRS-F-040;Yenisehir;28,0;2;0,24;1;68,6%;8136;3;12415,2;55,23;70,20;38,77;Orta
MRS-F-022-T007;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;26,0;1;0,29;1;95,0%;8349;3;9696,3;55,15;70,20;38,72;Orta
MRS-F-031-T040;DAGITIM_TRAFOSU;MRS-F-031;Yenisehir;28,0;3;0,42;1;59,2%;6087;3;21031,2;60,69;63,77;38,70;Orta
MRS-F-043-T030;DAGITIM_TRAFOSU;MRS-F-043;Mezitli;33,0;2;0,13;1;69,2%;6616;3;24375,5;57,26;67,45;38,62;Orta
MRS-F-009-T038;DAGITIM_TRAFOSU;MRS-F-009;Akdeniz;25,0;2;0,14;1;70,9%;6916;3;35247,1;53,03;72,78;38,60;Orta
MRS-F-003-D0012;DIREK;MRS-F-003;Akdeniz;47,0;0;0,26;1;79,1%;8352;3;0;57,38;66,71;38,27;Orta
MRS-F-021-D0010;DIREK;MRS-F-021;Toroslar;31,0;2;0,35;1;65,2%;7396;3;11908,9;57,27;66,56;38,12;Orta
MRS-F-043-T037;DAGITIM_TRAFOSU;MRS-F-043;Mezitli;40,0;2;0,13;1;69,2%;6616;3;9216,6;61,43;61,95;38,06;Orta
MRS-F-022-T002;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;27,7;1;0,31;1;95,0%;8349;3;2157,2;56,38;67,47;38,04;Orta
MRS-F-042-D0009;DIREK;MRS-F-042;Mezitli;22,0;5;0,08;1;68,3%;6469;1;49503,4;68,01;55,87;37,99;Orta
MRS-F-031-D0027;DIREK;MRS-F-031;Yenisehir;39,0;3;0,21;1;59,2%;6087;3;5417,8;65,14;58,11;37,85;Orta
MRS-F-079-D0001;DIREK;MRS-F-079;Erdemli;47,0;4;0,3;2;71,5%;7019;1;18592,6;79,66;47,23;37,62;Orta
MRS-F-021-D0021;DIREK;MRS-F-021;Toroslar;40,0;1;0,27;1;65,2%;7396;3;13965,1;55,83;67,31;37,58;Orta
MRS-F-020-D0001;DIREK;MRS-F-020;Toroslar;31,0;1;0,06;1;75,9%;7797;3;25941,1;51,06;73,52;37,54;Orta
MRS-F-002-T012;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;21,0;1;0,33;1;80,8%;8649;3;22968,9;49,03;76,41;37,46;Orta
MRS-F-023-D0001;DIREK;MRS-F-023;Toroslar;5,0;5;0,13;1;81,4%;6562;2;34237,2;61,65;60,77;37,46;Orta
MRS-F-009-D0009;DIREK;MRS-F-009;Akdeniz;30,0;2;0,26;1;70,9%;6916;3;14986,8;57,21;65,44;37,44;Orta
MRS-F-086-D0005;DIREK;MRS-F-086;Silifke;33,0;2;0,25;3;79,4%;8411;2;13168,6;60,60;61,75;37,42;Orta
MRS-F-021-T007;DAGITIM_TRAFOSU;MRS-F-021;Toroslar;14,0;3;0,26;1;65,2%;7396;3;25088,6;52,25;71,34;37,28;Orta
MRS-F-002-T005;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;10,0;2;0,17;1;80,8%;8649;3;31401,4;46,88;79,47;37,25;Orta
MRS-F-002-T039;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;43,0;0;0,16;1;80,8%;8649;3;0;54,42;68,09;37,05;Orta
MRS-F-003-T054;DAGITIM_TRAFOSU;MRS-F-003;Akdeniz;25,0;1;0,14;1;79,1%;8352;3;23361,4;49,08;75,17;36,90;Orta
MRS-F-003-T027;DAGITIM_TRAFOSU;MRS-F-003;Akdeniz;33,0;1;0,09;1;79,1%;8352;3;6520,9;53,34;69,07;36,84;Orta
MRS-F-040-T007;DAGITIM_TRAFOSU;MRS-F-040;Yenisehir;41,0;1;0;1;68,6%;8136;3;4831,8;54,57;67,45;36,81;Orta
MRS-F-040-T033;DAGITIM_TRAFOSU;MRS-F-040;Yenisehir;25,0;2;0,33;1;68,6%;8136;3;5574,4;54,35;67,72;36,80;Orta
MRS-F-007-D0006;DIREK;MRS-F-007;Akdeniz;30,0;1;0,19;1;79,2%;8363;3;8768;52,57;69,93;36,77;Orta
MRS-F-003-T021;DAGITIM_TRAFOSU;MRS-F-003;Akdeniz;31,0;1;0,29;1;79,1%;8352;3;3109,9;54,15;67,83;36,73;Orta
MRS-F-034-D0005;DIREK;MRS-F-034;Yenisehir;41,0;3;0,38;1;55,7%;5319;3;5811,5;67,15;54,68;36,72;Orta
MRS-F-007-T034;DAGITIM_TRAFOSU;MRS-F-007;Akdeniz;15,0;1;0,49;1;79,2%;8363;3;32641,8;46,65;78,58;36,66;Orta
MRS-F-002-T023;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;18,0;1;0,36;1;80,8%;8649;3;24434,3;47,54;76,94;36,58;Orta
MRS-F-096-D0003;DIREK;MRS-F-096;Bozyazi;35,0;2;0,33;2;76,5%;5920;3;9554,5;62,07;58,83;36,52;Orta
MRS-F-022-T003;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;35,0;0;0,31;1;95,0%;8349;3;0;54,71;66,69;36,48;Orta
MRS-F-020-T006;DAGITIM_TRAFOSU;MRS-F-020;Toroslar;22,0;2;0,12;1;75,9%;7797;3;15449,7;52,30;69,72;36,46;Orta
MRS-F-031-D0020;DIREK;MRS-F-031;Yenisehir;35,0;2;0,28;1;59,2%;6087;3;19405,6;57,46;63,18;36,30;Orta
MRS-F-003-T006;DAGITIM_TRAFOSU;MRS-F-003;Akdeniz;43,0;0;0,2;1;79,1%;8352;3;0;54,40;66,71;36,29;Orta
MRS-F-037-D0008;DIREK;MRS-F-037;Yenisehir;47,0;4;0,03;1;60,5%;3820;3;8663,7;74,42;48,72;36,26;Orta
MRS-F-022-T010;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;35,0;0;0,27;1;95,0%;8349;3;0;54,31;66,69;36,22;Orta
MRS-F-008-T006;DAGITIM_TRAFOSU;MRS-F-008;Akdeniz;38,0;2;0,12;1;75,7%;5814;3;10338,9;61,76;58,62;36,21;Orta
MRS-F-040-T034;DAGITIM_TRAFOSU;MRS-F-040;Yenisehir;31,0;1;0,11;1;68,6%;8136;3;19442,9;49,72;72,74;36,17;Orta
MRS-F-020-D0004;DIREK;MRS-F-020;Toroslar;12,0;3;0;1;75,9%;7797;3;18178,4;51,15;70,71;36,17;Orta
MRS-F-007-T036;DAGITIM_TRAFOSU;MRS-F-007;Akdeniz;40,0;0;0,35;1;79,2%;8363;3;0;54,13;66,76;36,13;Orta
MRS-F-002-T008;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;27,0;1;0,28;1;80,8%;8649;3;3453,2;52,10;69,34;36,12;Orta
MRS-F-096-D0006;DIREK;MRS-F-096;Bozyazi;38,0;1;0,31;2;76,5%;5920;3;19841,2;57,65;62,56;36,07;Orta
MRS-F-003-T013;DAGITIM_TRAFOSU;MRS-F-003;Akdeniz;26,0;1;0,29;1;79,1%;8352;3;10290,3;51,18;70,43;36,05;Orta
MRS-F-022-D0012;DIREK;MRS-F-022;Toroslar;19,0;1;0,29;1;95,0%;8349;3;11050;50,98;70,69;36,04;Orta
MRS-F-002-T031;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;40,0;0;0,18;1;80,8%;8649;3;0;52,84;68,09;35,98;Orta
MRS-F-008-D0009;DIREK;MRS-F-008;Akdeniz;38,0;2;0,01;1;75,7%;5814;3;11674,8;60,66;59,11;35,86;Orta
MRS-F-028-T006;DAGITIM_TRAFOSU;MRS-F-028;Toroslar;43,0;1;0,23;1;83,2%;9059;1;22094,7;61,71;58,01;35,79;Orta
MRS-F-022-T059;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;34,0;0;0,26;1;95,0%;8349;3;0;53,61;66,69;35,75;Orta
MRS-F-013-D0005;DIREK;MRS-F-013;Akdeniz;24,0;7;0,09;1;72,1%;5341;1;50266,7;70,23;50,89;35,74;Orta
MRS-F-007-D0007;DIREK;MRS-F-007;Akdeniz;39,0;0;0,35;1;79,2%;8363;3;0;53,53;66,76;35,74;Orta
MRS-F-055-T037;DAGITIM_TRAFOSU;MRS-F-055;Tarsus;40,0;1;0,07;14;68,4%;8106;3;9062,7;51,88;68,84;35,71;Orta
MRS-F-022-T027;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;20,0;1;0,41;1;95,0%;8349;3;2472,7;52,78;67,59;35,67;Orta
MRS-F-043-D0004;DIREK;MRS-F-043;Mezitli;21,0;3;0,16;1;69,2%;6616;3;12673,4;56,42;63,21;35,66;Orta
MRS-F-061-D0016;DIREK;MRS-F-061;Tarsus;31,0;5;0,28;14;70,2%;5100;2;19979,6;73,07;48,79;35,65;Orta
MRS-F-007-T007;DAGITIM_TRAFOSU;MRS-F-007;Akdeniz;27,0;1;0,16;1;79,2%;8363;3;10138,7;50,49;70,43;35,56;Orta
MRS-F-014-D0006;DIREK;MRS-F-014;Akdeniz;39,0;5;0,17;1;71,6%;7044;0;38393,5;79,85;44,52;35,55;Orta
MRS-F-003-D0009;DIREK;MRS-F-003;Akdeniz;27,7;1;0,28;1;79,1%;8352;3;3800,3;52,10;68,08;35,47;Orta
MRS-F-002-T004;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;28,0;1;0,12;1;80,8%;8649;3;3348,4;51,09;69,30;35,41;Orta
MRS-F-009-D0014;DIREK;MRS-F-009;Akdeniz;13,0;3;0,27;1;70,9%;6916;3;18009,7;53,19;66,54;35,39;Orta
MRS-F-003-D0002;DIREK;MRS-F-003;Akdeniz;24,0;1;0,2;1;79,1%;8352;3;14716,1;49,09;72,04;35,36;Orta
MRS-F-078-T028;DAGITIM_TRAFOSU;MRS-F-078;Erdemli;17,0;2;0,29;2;79,5%;6314;3;30640,2;51,70;68,31;35,32;Orta
MRS-F-002-D0001;DIREK;MRS-F-002;Akdeniz;9,0;2;0,27;1;80,8%;8649;3;18220,1;47,28;74,69;35,32;Orta
MRS-F-007-T010;DAGITIM_TRAFOSU;MRS-F-007;Akdeniz;26,0;1;0,19;1;79,2%;8363;3;9748,5;50,19;70,29;35,28;Orta
MRS-F-043-D0021;DIREK;MRS-F-043;Mezitli;32,0;2;0,19;1;69,2%;6616;3;7975,5;57,27;61,50;35,22;Orta
MRS-F-055-D0004;DIREK;MRS-F-055;Tarsus;14,0;3;0,26;14;68,4%;8106;3;11937;50,30;69,88;35,15;Orta
MRS-F-086-D0007;DIREK;MRS-F-086;Silifke;21,0;2;0,27;3;79,4%;8411;2;23292,5;53,66;65,42;35,10;Orta
MRS-F-022-D0002;DIREK;MRS-F-022;Toroslar;16,0;1;0,39;1;95,0%;8349;3;8744,4;50,20;69,86;35,07;Orta
MRS-F-086-D0010;DIREK;MRS-F-086;Silifke;37,0;1;0,37;3;79,4%;8411;2;8583,4;58,18;60,09;34,96;Orta
MRS-F-022-T051;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;27,7;0;0,5;1;95,0%;8349;3;0;52,28;66,69;34,86;Orta
MRS-F-075-T017;DAGITIM_TRAFOSU;MRS-F-075;Erdemli;40,0;2;0,46;2;70,7%;8594;1;16166,4;64,89;53,69;34,84;Orta
MRS-F-022-T032;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;30,0;0;0,36;1;95,0%;8349;3;0;52,23;66,69;34,83;Orta
MRS-F-096-T029;DAGITIM_TRAFOSU;MRS-F-096;Bozyazi;35,0;1;0,31;2;76,5%;5920;3;19187,9;55,87;62,32;34,82;Orta
MRS-F-028-T009;DAGITIM_TRAFOSU;MRS-F-028;Toroslar;27,7;2;0,37;1;83,2%;9059;1;21798,1;60,01;57,90;34,75;Orta
MRS-F-009-T010;DAGITIM_TRAFOSU;MRS-F-009;Akdeniz;24,0;2;0,33;1;70,9%;6916;3;10800;54,34;63,93;34,73;Orta
MRS-F-017-D0004;DIREK;MRS-F-017;Toroslar;26,0;6;0,21;1;73,9%;7433;0;41669,9;73,06;47,52;34,72;Orta
MRS-F-092-T004;DAGITIM_TRAFOSU;MRS-F-092;Aydincik;40,0;7;0,69;2;49,8%;2414;1;67296,1;79,96;43,42;34,72;Orta
MRS-F-078-T001;DAGITIM_TRAFOSU;MRS-F-078;Erdemli;35,0;1;0,26;2;79,5%;6314;3;12631,8;56,12;61,78;34,67;Orta
MRS-F-022-T019;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;28,0;0;0,45;1;95,0%;8349;3;0;51,94;66,69;34,64;Orta
MRS-F-007-D0008;DIREK;MRS-F-007;Akdeniz;26,0;1;0,21;1;79,2%;8363;3;5381,8;50,39;68,71;34,62;Orta
MRS-F-002-D0004;DIREK;MRS-F-002;Akdeniz;22,0;1;0,33;1;80,8%;8649;3;4542,4;49,62;69,74;34,60;Orta
MRS-F-031-D0013;DIREK;MRS-F-031;Yenisehir;47,0;1;0,21;1;59,2%;6087;3;9792,3;57,90;59,70;34,57;Orta
MRS-F-062-D0012;DIREK;MRS-F-062;Tarsus;25,0;3;0,26;14;79,2%;6275;2;30400,1;59,54;58,04;34,56;Orta
MRS-F-014-D0005;DIREK;MRS-F-014;Akdeniz;39,0;4;0,13;1;71,6%;7044;0;45189,5;73,45;46,98;34,51;Orta
MRS-F-022-D0006;DIREK;MRS-F-022;Toroslar;29,0;0;0,36;1;95,0%;8349;3;0;51,64;66,69;34,44;Orta
MRS-F-020-T040;DAGITIM_TRAFOSU;MRS-F-020;Toroslar;31,0;1;0,01;1;75,9%;7797;3;10956,1;50,56;68,09;34,43;Orta
MRS-F-002-T015;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;10,0;1;0,32;1;80,8%;8649;3;35904,9;42,38;81,10;34,37;Orta
MRS-F-002-T042;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;34,0;0;0,29;1;80,8%;8649;3;0;50,36;68,09;34,29;Orta
MRS-F-003-T001;DAGITIM_TRAFOSU;MRS-F-003;Akdeniz;38,0;0;0,19;1;79,1%;8352;3;0;51,32;66,71;34,23;Orta
MRS-F-022-T012;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;31,0;0;0,21;1;95,0%;8349;3;0;51,33;66,69;34,23;Orta
MRS-F-034-T021;DAGITIM_TRAFOSU;MRS-F-034;Yenisehir;37,0;2;0,54;1;55,7%;5319;3;10854,8;60,37;56,50;34,11;Orta
MRS-F-040-T024;DAGITIM_TRAFOSU;MRS-F-040;Yenisehir;26,0;1;0,27;1;68,6%;8136;3;13277;48,34;70,51;34,09;Orta
MRS-F-002-T036;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;21,0;1;0,28;1;80,8%;8649;3;5649,7;48,53;70,14;34,03;Orta
MRS-F-075-D0020;DIREK;MRS-F-075;Erdemli;40,0;2;0,05;2;70,7%;8594;1;21999,3;60,79;55,80;33,92;Orta
MRS-F-022-T017;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;29,0;0;0,28;1;95,0%;8349;3;0;50,84;66,69;33,90;Orta
MRS-F-008-D0011;DIREK;MRS-F-008;Akdeniz;21,0;3;0,14;1;75,7%;5814;3;10162,8;57,84;58,56;33,87;Orta
MRS-F-086-T038;DAGITIM_TRAFOSU;MRS-F-086;Silifke;38,0;1;0,37;3;79,4%;8411;2;1759,6;58,78;57,62;33,87;Orta
