outage_id;event_id;feeder_id;asset_id;tm_id;ilce;bolge_tipi;kesinti_tipi;baslangic;bitis;sure_dk;ekip_varis_dk;etkilenen_abone;etkilenen_kritik_musteri;kayip_enerji_kWh;ariza_nedeni;onarim_aciklamasi;ihbar_kanali;sure_supheli;sure_dolduruldu;abone_dolduruldu;varlik_tipi;aciklama_tutarsiz
OMS-2021-004174;EVT-035735;MRS-F-067;MRS-F-067-D0145;TM-06;Camliyayla;kirsal;PLANSIZ;2021-01-02 11:03:00;2021-01-02 13:56:18;173,3;121,3;2370;1;7529,9;AGAC_TEMASI;Agac budandi hat temizlendi;SCADA;0;0;0;DIREK;0
OMS-2021-011242;EVT-095941;MRS-F-117;MRS-F-117-D0178;TM-13;Gulnar;kirsal;PLANSIZ;2021-01-02 15:45:00;2021-01-02 19:13:18;208,3;145,8;863;1;3295,7;HAVA_KOSULLARI;FIRTINA;186_CAGRI;0;0;0;DIREK;0
OMS-2021-010823;EVT-092303;MRS-F-115;MRS-F-115-D0133;TM-13;Gulnar;kirsal;PLANSIZ;2021-01-03 07:16:00;2021-01-03 08:42:36;86,6;60,6;1991;1;3161;AGAC_TEMASI;agac dali kesildi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-001659;EVT-013824;MRS-F-037;MRS-F-037-D0003;TM-03;Yenisehir;kentsel;PLANSIZ;2021-01-03 15:12:00;2021-01-03 16:16:42;64,7;28,8;1068;1;1266,8;HAVA_KOSULLARI;kar yuku;SCADA;0;0;0;DIREK;0
OMS-2021-011243;EVT-095944;MRS-F-117;MRS-F-117-D0347;TM-13;Gulnar;kirsal;PLANSIZ;2021-01-03 19:37:00;2021-01-03 23:30:30;233,5;40,1;978;1;4186,7;EKIPMAN_YASLANMA;eskimis iletken degisti;186_CAGRI;0;0;0;DIREK;0
OMS-2021-006813;EVT-058112;MRS-F-087;MRS-F-087-D0049;TM-08;Silifke;kirsal;PLANSIZ;2021-01-04 09:55:00;2021-01-04 14:16:00;261;38,9;205;0;980,9;EKIPMAN_YASLANMA;direk curumesi;SCADA;0;0;0;DIREK;0
OMS-2021-000318;EVT-002675;MRS-F-009;MRS-F-009-D0009;TM-01;Akdeniz;kentsel;PLANSIZ;2021-01-04 13:30:00;2021-01-04 15:07:30;97,5;6,8;4812;2;8601,4;HAYVAN;hayvan kaynakli kisa devre;186_CAGRI;0;0;0;DIREK;0
OMS-2021-003986;EVT-033942;MRS-F-066;MRS-F-066-D0163;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-05 12:10:00;2021-01-05 17:28:18;318,3;150,9;2116;0;12347,9;AGAC_TEMASI;Agac budandi hat temizlendi;SCADA;0;0;0;DIREK;0
OMS-2021-005549;EVT-047625;MRS-F-077;MRS-F-077-D0101;TM-07;Erdemli;kirsal;PLANSIZ;2021-01-05 14:10:00;2021-01-05 17:03:54;173,9;23,5;329;0;1048,9;AGAC_TEMASI;agac dali temasi;SCADA;0;0;0;DIREK;0
OMS-2021-002272;EVT-019052;MRS-F-045;MRS-F-045-D0286;TM-04;Mezitli;kirsal;PLANSIZ;2021-01-05 14:46:00;2021-01-05 19:03:36;257,6;92,6;258;0;1218,4;IZOLATOR_ARIZASI;zincir izolator degisimi;SCADA;0;0;0;DIREK;0
OMS-2021-006611;EVT-056282;MRS-F-085;MRS-F-085-D0142;TM-08;Silifke;kirsal;PLANSIZ;2021-01-05 15:30:00;2021-01-05 21:41:00;371;138,3;360;1;2448,6;EKIPMAN_YASLANMA;travers korozyonu;SCADA;0;0;0;DIREK;0
OMS-2021-002702;EVT-022994;MRS-F-053;MRS-F-053-D0202;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-05 16:16:00;2021-01-05 19:11:09;175,15;46,7;1457;1;4678,5;AGAC_TEMASI;Agac budandi hat temizlendi;SCADA;0;1;0;DIREK;0
OMS-2021-005548;EVT-047624;MRS-F-077;MRS-F-077-D0105;TM-07;Erdemli;kirsal;PLANSIZ;2021-01-05 17:33:00;2021-01-05 20:01:06;148,1;103,7;1217;0;3304,4;AGAC_TEMASI;agac dali kesildi;SCADA;0;0;0;DIREK;0
OMS-2021-006267;EVT-053356;MRS-F-083;MRS-F-083-D0275;TM-08;Silifke;kirsal;PLANSIZ;2021-01-05 23:33:00;2021-01-06 02:29:48;176,8;104,2;702;1;2275,4;HAVA_KOSULLARI;firtina;186_CAGRI;0;0;0;DIREK;0
OMS-2021-008716;EVT-074471;MRS-F-100;MRS-F-100-D0052;TM-11;Anamur;kirsal;PLANSIZ;2021-01-06 10:07:00;2021-01-06 12:04:18;117,3;23,4;1630;0;3505,3;EKIPMAN_YASLANMA;DIREK CURUMESI;SCADA;0;0;0;DIREK;0
OMS-2021-008161;EVT-069792;MRS-F-095;MRS-F-095-D0060;TM-10;Bozyazi;kirsal;PLANSIZ;2021-01-06 10:55:00;2021-01-06 17:05:42;370,7;141,3;363;0;2467;EKIPMAN_YASLANMA;direk curumesi;SCADA;0;0;0;DIREK;0
OMS-2021-002703;EVT-022995;MRS-F-053;MRS-F-053-T016;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-06 11:14:00;2021-01-06 13:47:24;153,4;40,3;1398;0;3931,6;KABLO_ARIZASI;yeralti kablo arizasi;186_CAGRI;0;0;1;DAGITIM_TRAFOSU;0
OMS-2021-010309;EVT-088030;MRS-F-111;MRS-F-111-D0102;TM-12;Mut;kirsal;PLANSIZ;2021-01-06 13:56:00;2021-01-06 18:19:00;263;32,7;1646;0;7936,5;AGAC_TEMASI;dal temas?;186_CAGRI;0;0;0;DIREK;0
OMS-2021-007511;EVT-064234;MRS-F-091;MRS-F-091-D0177;TM-08;Silifke;kirsal;PLANSIZ;2021-01-06 15:09:00;2021-01-06 19:09:36;240,6;129,7;352;0;1552,7;EKIPMAN_YASLANMA;direk curumesi;SCADA;0;0;0;DIREK;0
OMS-2021-005301;EVT-045474;MRS-F-074;MRS-F-074-D0042;TM-07;Erdemli;kirsal;PLANSIZ;2021-01-06 20:10:00;2021-01-06 22:22:24;132,4;73,3;955;1;2318,1;HAYVAN;hayvan kaynakli kisa devre;186_CAGRI;0;0;0;DIREK;0
OMS-2021-007120;EVT-060705;MRS-F-089;MRS-F-089-D0161;TM-08;Silifke;kirsal;PLANSIZ;2021-01-07 08:53:00;2021-01-07 12:11:54;198,9;90,4;1388;1;5061,3;IZOLATOR_ARIZASI;izo. delinme;SCADA;0;0;0;DIREK;0
OMS-2021-002890;EVT-024656;MRS-F-057;MRS-F-057-D0129;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-07 09:22:00;2021-01-07 12:43:21;201,35;28,1;462;0;1705,4;EKIPMAN_YASLANMA;DIREK CURUMESI;SCADA;0;1;0;DIREK;0
OMS-2021-009202;EVT-078686;MRS-F-103;MRS-F-103-D0174;TM-11;Anamur;kirsal;PLANSIZ;2021-01-07 10:33:00;2021-01-07 11:31:06;58,1;40,7;336;0;357,9;UCUNCU_SAHIS;ARAC CARPMASI DIREK;186_CAGRI;0;0;0;DIREK;0
OMS-2021-003141;EVT-026981;MRS-F-059;MRS-F-059-D0044;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-07 18:53:00;2021-01-07 21:04:00;131;39,9;635;0;1525,1;HAYVAN;hayvan kaynakli kisa devre;SCADA;0;0;0;DIREK;0
OMS-2021-011019;EVT-093987;MRS-F-116;MRS-F-116-D0017;TM-13;Gulnar;kirsal;PLANSIZ;2021-01-08 01:52:00;2021-01-08 03:44:00;112;63,5;812;1;1667,3;AGAC_TEMASI;Agac budandi hat temizlendi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-007512;EVT-064236;MRS-F-091;MRS-F-091-D0118;TM-08;Silifke;kirsal;PLANSIZ;2021-01-08 08:55:00;2021-01-08 10:48:00;113;8,7;1098;0;2274,7;AGAC_TEMASI;agc. temasi;SCADA;0;0;0;DIREK;0
OMS-2021-002273;EVT-019058;MRS-F-045;MRS-F-045-D0219;TM-04;Mezitli;kirsal;PLANSIZ;2021-01-08 12:48:00;2021-01-08 17:44:48;296,8;72,6;601;0;3270,2;AGAC_TEMASI;dal temas?;SCADA;0;0;0;DIREK;0
OMS-2021-010476;EVT-089404;MRS-F-112;MRS-F-112-D0144;TM-12;Mut;kirsal;PLANSIZ;2021-01-08 14:09:00;2021-01-08 20:11:30;362,5;94;2498;1;16601,3;IZOLATOR_ARIZASI;izolator kirilmasi;SCADA;0;0;0;DIREK;0
OMS-2021-003271;EVT-028144;MRS-F-060;MRS-F-060-D0076;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-08 19:27:00;2021-01-09 00:59:30;332,5;200;241;0;1469,1;HAVA_KOSULLARI;FIRTINA;186_CAGRI;0;0;0;DIREK;0
OMS-2021-008036;EVT-068727;MRS-F-094;MRS-F-094-D0075;TM-09;Aydincik;kirsal;PLANSIZ;2021-01-09 09:15:00;2021-01-09 13:46:36;271,6;185,5;336;1;1673,1;AGAC_TEMASI;agac dali kesildi;SCADA;0;0;0;DIREK;0
OMS-2021-001778;EVT-014865;MRS-F-040;MRS-F-040-D0008;TM-03;Yenisehir;kentsel;PLANSIZ;2021-01-09 12:01:00;2021-01-09 15:30:00;209;35,2;6196;2;23741;HAVA_KOSULLARI;ruzgar-hat sallanmasi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-008620;EVT-073626;MRS-F-099;MRS-F-099-D0121;TM-10;Bozyazi;kirsal;PLANSIZ;2021-01-09 12:32:00;2021-01-09 15:48:48;196,8;23,6;534;0;1926,7;HAVA_KOSULLARI;firtina nedeniyle iletken kopmasi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-004882;EVT-041987;MRS-F-072;MRS-F-072-T006;TM-07;Erdemli;kirsal;PLANSIZ;2021-01-09 18:47:00;2021-01-09 23:48:30;301,5;112,1;1248;1;6898,3;ASIRI_YUKLENME;ASIRI YUK;SCADA;0;0;0;DAGITIM_TRAFOSU;0
OMS-2021-011020;EVT-093992;MRS-F-116;MRS-F-116-D0392;TM-13;Gulnar;kirsal;PLANSIZ;2021-01-10 12:49:00;2021-01-10 16:05:36;196,6;35,3;725;1;2613,1;HAVA_KOSULLARI;firtina;SCADA;0;0;0;DIREK;0
OMS-2021-010310;EVT-088033;MRS-F-111;MRS-F-111-D0296;TM-12;Mut;kirsal;PLANSIZ;2021-01-10 21:53:00;2021-01-11 02:56:48;303,8;33,1;420;0;2339,3;HAVA_KOSULLARI;yildirim dusmesi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-001616;EVT-013470;MRS-F-036;MRS-F-036-T023;TM-03;Yenisehir;kentsel;PLANSIZ;2021-01-11 10:29:00;2021-01-11 11:49:42;80,7;15,9;1670;0;2470,8;EKIPMAN_YASLANMA;iletken kopmasi (eskime);SAHA_EKIBI;0;0;0;DAGITIM_TRAFOSU;1
OMS-2021-001243;EVT-010427;MRS-F-029;MRS-F-029-D0008;TM-03;Yenisehir;kentsel;PLANSIZ;2021-01-11 11:26:00;2021-01-11 11:55:54;29,9;20,8;2447;1;1341,4;IZOLATOR_ARIZASI;IZOLATOR ARIZASI;186_CAGRI;0;0;0;DIREK;0
OMS-2021-011021;EVT-093994;MRS-F-116;MRS-F-116-D0391;TM-13;Gulnar;kirsal;PLANSIZ;2021-01-11 11:26:00;2021-01-11 13:26:30;120,5;31,2;1173;1;2591,4;IZOLATOR_ARIZASI;IZOLATOR ARIZASI;186_CAGRI;0;0;0;DIREK;0
OMS-2021-005829;EVT-049882;MRS-F-080;MRS-F-080-D0108;TM-08;Silifke;kirsal;PLANSIZ;2021-01-11 17:59:00;2021-01-11 20:27:18;148,3;78;621;0;1688,4;AGAC_TEMASI;agac dali kesildi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-005768;EVT-049461;MRS-F-079;MRS-F-079-D0002;TM-07;Erdemli;kentsel;PLANSIZ;2021-01-11 22:07:00;2021-01-11 23:06:36;59,6;27,3;5635;1;6157,2;AGAC_TEMASI;Agac budandi hat temizlendi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-000580;EVT-004926;MRS-F-014;MRS-F-014-T030;TM-01;Akdeniz;kentsel;PLANSIZ;2021-01-11 22:59:00;2021-01-12 00:59:30;120,5;30,3;4445;0;9819,7;DIGER;arastiriliyor;SCADA;0;0;0;DAGITIM_TRAFOSU;0
OMS-2021-000384;EVT-003167;MRS-F-010;MRS-F-010-D0202;TM-01;Akdeniz;kirsal;PLANSIZ;2021-01-11 23:26:00;2021-01-12 03:31:54;245,9;71,5;757;0;3412,7;AGAC_TEMASI;agac dali kesildi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-010712;EVT-091394;MRS-F-114;MRS-F-114-D0031;TM-12;Mut;kirsal;PLANSIZ;2021-01-12 07:19:00;2021-01-12 08:57:48;98,8;55,8;558;1;1010,7;HAVA_KOSULLARI;firtina nedeniyle iletken kopmasi;SCADA;0;0;0;DIREK;0
OMS-2021-008461;EVT-072309;MRS-F-098;MRS-F-098-D0259;TM-10;Bozyazi;kirsal;PLANSIZ;2021-01-12 07:54:00;2021-01-12 13:14:06;320,1;31,6;605;0;3550,4;IZOLATOR_ARIZASI;izolator kirilmasi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-008462;EVT-072310;MRS-F-098;MRS-F-098-D0156;TM-10;Bozyazi;kirsal;PLANSIZ;2021-01-12 10:52:00;2021-01-12 11:52:30;60,5;42,3;913;0;1012,7;AGAC_TEMASI;Agac budandi hat temizlendi;SCADA;0;0;0;DIREK;0
OMS-2021-003323;EVT-028570;MRS-F-061;MRS-F-061-D0018;TM-05;Tarsus;kentsel;PLANSIZ;2021-01-12 13:03:00;2021-01-12 14:13:18;70,3;5,8;1824;1;2350,8;UCUNCU_SAHIS;insaat kaynakli;186_CAGRI;0;0;0;DIREK;0
OMS-2021-008891;EVT-075910;MRS-F-101;MRS-F-101-D0096;TM-11;Anamur;kirsal;PLANSIZ;2021-01-12 17:32:00;2021-01-12 19:47:36;135,6;85,2;621;0;1543,8;IZOLATOR_ARIZASI;izo. delinme;186_CAGRI;0;0;0;DIREK;0
OMS-2021-008336;EVT-071201;MRS-F-097;MRS-F-097-T010;TM-10;Bozyazi;kirsal;PLANSIZ;2021-01-12 20:52:00;2021-01-13 00:04:42;192,7;49,8;1353;0;4779,9;ASIRI_YUKLENME;ASIRI YUK;SCADA;0;0;0;DAGITIM_TRAFOSU;0
OMS-2021-007738;EVT-066277;MRS-F-092;MRS-F-092-D0218;TM-09;Aydincik;kirsal;PLANSIZ;2021-01-12 20:56:00;2021-01-12 23:18:42;142,7;41,4;280;0;732,5;AGAC_TEMASI;agac dali temasi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-010173;EVT-086791;MRS-F-110;MRS-F-110-D0133;TM-12;Mut;kirsal;PLANSIZ;2021-01-12 23:14:00;2021-01-13 05:35:00;381;132,5;1617;1;11294,7;HAVA_KOSULLARI;firtina;SCADA;0;0;0;DIREK;0
OMS-2021-005302;EVT-045476;MRS-F-074;MRS-F-074-D0141;TM-07;Erdemli;kirsal;PLANSIZ;2021-01-13 08:38:00;2021-01-13 10:35:36;117,6;51,8;1135;1;2447,1;UCUNCU_SAHIS;kazi calismasi kablo hasari;SCADA;0;0;0;DIREK;0
OMS-2021-009440;EVT-080833;MRS-F-105;MRS-F-105-D0193;TM-11;Anamur;kirsal;PLANSIZ;2021-01-13 09:29:00;2021-01-13 10:36:54;67,9;22,2;961;0;1196,3;AGAC_TEMASI;dal temas?;SAHA_EKIBI;0;0;0;DIREK;0
OMS-2021-005550;EVT-047627;MRS-F-077;MRS-F-077-D0245;TM-07;Erdemli;kirsal;PLANSIZ;2021-01-14 02:21:00;2021-01-14 06:32:48;251,8;173,4;1626;0;7506,2;EKIPMAN_YASLANMA;iletken kopmasi (eskime);SCADA;0;0;0;DIREK;0
OMS-2021-005985;EVT-051212;MRS-F-081;MRS-F-081-D0340;TM-08;Silifke;kirsal;PLANSIZ;2021-01-14 08:20:00;2021-01-14 10:03:42;103,7;67,1;1117;0;2123,6;AGAC_TEMASI;agac dali temasi;SCADA;0;0;0;DIREK;0
OMS-2021-010311;EVT-088035;MRS-F-111;MRS-F-111-D0307;TM-12;Mut;kirsal;PLANSIZ;2021-01-14 13:54:00;2021-01-14 16:12:00;138;84,4;1759;0;4450,3;AGAC_TEMASI;agac dali kesildi;SCADA;0;0;0;DIREK;0
OMS-2021-002041;EVT-017072;MRS-F-044;MRS-F-044-D0418;TM-04;Mezitli;kirsal;PLANSIZ;2021-01-14 15:30:00;2021-01-14 18:57:18;207,3;145,1;1608;0;6111,2;HAVA_KOSULLARI;ruzgar-hat sallanmasi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-003142;EVT-026984;MRS-F-059;MRS-F-059-D0287;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-14 18:38:00;2021-01-14 21:45:30;187,5;117,3;1947;0;6692,8;AGAC_TEMASI;agac dali kesildi;SCADA;0;0;0;DIREK;0
OMS-2021-002274;EVT-019064;MRS-F-045;MRS-F-045-D0162;TM-04;Mezitli;kirsal;PLANSIZ;2021-01-14 21:44:00;2021-01-15 03:17:48;333,8;107,8;695;0;4253,2;EKIPMAN_YASLANMA;travers korozyonu;SCADA;0;0;0;DIREK;0
OMS-2021-010174;EVT-086793;MRS-F-110;MRS-F-110-T002;TM-12;Mut;kirsal;PLANSIZ;2021-01-14 23:43:00;2021-01-15 08:28:12;525,2;71,1;1995;1;19209,2;ASIRI_YUKLENME;yuklenme kaynakli;186_CAGRI;0;0;0;DAGITIM_TRAFOSU;0
OMS-2021-002705;EVT-023001;MRS-F-053;MRS-F-053-D0154;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-15 00:54:00;2021-01-15 02:12:42;78,7;55,1;2679;1;3865,4;AGAC_TEMASI;Agac budandi hat temizlendi;SCADA;0;0;0;DIREK;0
OMS-2021-008717;EVT-074479;MRS-F-100;MRS-F-100-D0247;TM-11;Anamur;kirsal;PLANSIZ;2021-01-15 09:18:00;2021-01-15 12:02:00;164;55,5;921;0;2769,1;HAVA_KOSULLARI;firtina;SCADA;0;0;0;DIREK;0
OMS-2021-009882;EVT-084422;MRS-F-108;MRS-F-108-D0352;TM-12;Mut;kirsal;PLANSIZ;2021-01-15 10:29:00;2021-01-15 13:57:06;208,1;45,8;2636;0;10056,8;HAVA_KOSULLARI;firtina;186_CAGRI;0;0;0;DIREK;0
OMS-2021-010175;EVT-086795;MRS-F-110;MRS-F-110-D0196;TM-12;Mut;kirsal;PLANSIZ;2021-01-15 14:57:00;2021-01-15 16:51:12;114,2;54,8;1274;1;2667,3;HAVA_KOSULLARI;kar yuku;SCADA;0;0;0;DIREK;0
OMS-2021-003881;EVT-032995;MRS-F-065;MRS-F-065-D0004;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-15 14:59:00;2021-01-15 17:32:48;153,8;88,7;282;0;795,1;AGAC_TEMASI;dal temas?;SCADA;0;0;0;DIREK;0
OMS-2021-002704;EVT-023000;MRS-F-053;MRS-F-053-D0029;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-15 19:35:00;2021-01-15 20:35:48;60,8;42,5;2330;1;2597,2;AGAC_TEMASI;agc. temasi;SCADA;0;0;0;DIREK;0
OMS-2021-008038;EVT-068731;MRS-F-094;MRS-F-094-D0130;TM-09;Aydincik;kirsal;PLANSIZ;2021-01-15 20:43:00;2021-01-16 00:49:30;246,5;68,6;245;1;1107,2;HAVA_KOSULLARI;yildirim dusmesi;SCADA;0;0;0;DIREK;0
OMS-2021-000957;EVT-007872;MRS-F-023;MRS-F-023-T034;TM-02;Toroslar;kentsel;PLANSIZ;2021-01-15 21:38:00;2021-01-15 22:55:36;77,6;22,9;3309;1;4707,6;UCUNCU_SAHIS;ARAC CARPMASI DIREK;SAHA_EKIBI;0;0;0;DAGITIM_TRAFOSU;1
OMS-2021-008037;EVT-068730;MRS-F-094;MRS-F-094-D0019;TM-09;Aydincik;kirsal;PLANSIZ;2021-01-15 23:58:00;2021-01-16 02:07:06;129,1;76,1;201;0;475,7;UCUNCU_SAHIS;kazi hasari;SCADA;0;0;0;DIREK;0
OMS-2021-005986;EVT-051214;MRS-F-081;MRS-F-081-D0362;TM-08;Silifke;kirsal;PLANSIZ;2021-01-16 05:23:00;2021-01-16 06:48:36;85,6;43,6;1235;0;1938,1;AGAC_TEMASI;agc. temasi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-008463;EVT-072312;MRS-F-098;MRS-F-098-D0004;TM-10;Bozyazi;kirsal;PLANSIZ;2021-01-16 06:02:00;2021-01-16 09:23:21;201,35;79,8;468;0;1727,6;EKIPMAN_YASLANMA;iletken kopmasi (eskime);SCADA;0;1;0;DIREK;0
OMS-2021-007297;EVT-062396;MRS-F-090;MRS-F-090-D0210;TM-08;Silifke;kirsal;PLANSIZ;2021-01-16 11:14:00;2021-01-16 15:41:54;267,9;36,4;325;1;1596,2;EKIPMAN_YASLANMA;travers korozyonu;SCADA;0;0;1;DIREK;0
OMS-2021-010591;EVT-090423;MRS-F-113;MRS-F-113-T005;TM-12;Mut;kirsal;PLANSIZ;2021-01-16 16:22:00;2021-01-16 17:26:36;64,6;33,6;2126;1;2517,9;ASIRI_YUKLENME;trafo asiri yuklenme;SCADA;0;0;0;DAGITIM_TRAFOSU;0
OMS-2021-003143;EVT-026987;MRS-F-059;MRS-F-059-D0051;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-16 16:29:00;2021-01-16 22:56:54;387,9;157,3;873;0;6208,3;AGAC_TEMASI;agac dali kesildi;SCADA;0;0;0;DIREK;0
OMS-2021-007919;EVT-067790;MRS-F-093;MRS-F-093-D0155;TM-09;Aydincik;kirsal;PLANSIZ;2021-01-16 17:18:00;2021-01-16 20:55:36;217,6;111,5;1141;0;4551,8;HAYVAN;kus;186_CAGRI;0;0;0;DIREK;0
OMS-2021-010477;EVT-089414;MRS-F-112;MRS-F-112-D0090;TM-12;Mut;kirsal;PLANSIZ;2021-01-16 23:58:00;2021-01-17 02:26:42;148,7;73,1;1551;1;4228,3;HAVA_KOSULLARI;firtina nedeniyle iletken kopmasi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-007739;EVT-066283;MRS-F-092;MRS-F-092-D0020;TM-09;Aydincik;kirsal;PLANSIZ;2021-01-17 07:32:00;2021-01-17 11:59:54;267,9;95;2129;1;10456,6;AGAC_TEMASI;agac dali temasi;SCADA;0;0;0;DIREK;0
OMS-2021-000088;EVT-000704;MRS-F-003;MRS-F-003-D0014;TM-01;Akdeniz;kentsel;PLANSIZ;2021-01-17 11:31:00;2021-01-17 14:27:12;176,2;32,6;5942;2;19194,6;AGAC_TEMASI;agac dali temasi;SCADA;0;0;0;DIREK;0
OMS-2021-004883;EVT-041990;MRS-F-072;MRS-F-072-D0288;TM-07;Erdemli;kirsal;PLANSIZ;2021-01-17 11:38:00;2021-01-17 14:54:45;196,75;372,7;2181;1;7867;IZOLATOR_ARIZASI;zincir izolator degisimi;SCADA;0;1;0;DIREK;0
OMS-2021-009203;EVT-078695;MRS-F-103;MRS-F-103-D0270;TM-11;Anamur;kirsal;PLANSIZ;2021-01-17 12:35:00;2021-01-17 17:02:00;267;31,4;706;1;3455,9;AGAC_TEMASI;AGAC TEMASI;SCADA;0;0;0;DIREK;0
OMS-2021-005112;EVT-043830;MRS-F-073;MRS-F-073-D0204;TM-07;Erdemli;kirsal;PLANSIZ;2021-01-17 13:36:00;2021-01-17 16:34:36;178,6;44,6;1689;0;5530,3;HAVA_KOSULLARI;yildirim dusmesi;SCADA;0;0;0;DIREK;0
OMS-2021-000751;EVT-006309;MRS-F-018;MRS-F-018-D0019;TM-02;Toroslar;kentsel;PLANSIZ;2021-01-17 15:16:00;2021-01-17 19:13:54;237,9;87,9;2504;1;10921,2;HAVA_KOSULLARI;ruzgar-hat sallanmasi;SCADA;0;0;0;DIREK;0
OMS-2021-002891;EVT-024661;MRS-F-057;MRS-F-057-T007;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-17 15:42:00;2021-01-17 19:29:18;227,3;64,2;1561;0;6504,9;ASIRI_YUKLENME;sigorta atmasi yuk;186_CAGRI;0;0;0;DAGITIM_TRAFOSU;0
